network,attr,method,lam,nodes (n),clusters (k),groups (h),Q_FNMTF,B_FNMTF
DrugNet,Ethnicity,FairNMF,0,193,2,3,0.45504210888826263,0.05907013423883406
DrugNet,Ethnicity,FairNMF,0.0001,193,2,3,0.46483919011391533,0.06243763891262533
DrugNet,Ethnicity,FairNMF,0.0005,193,2,3,0.4468372490350512,0.06373906934015652
DrugNet,Ethnicity,FairNMF,0.00075,193,2,3,0.45133661617178095,0.0624675452541249
DrugNet,Ethnicity,FairNMF,0.001,193,2,3,0.4595146408333221,0.04933639026921988
DrugNet,Ethnicity,FairNMF,0.0025,193,2,3,0.46006923479450945,0.04557018918374885
DrugNet,Ethnicity,FairNMF,0.005,193,2,3,0.4600848886563172,0.04721791827477187
DrugNet,Ethnicity,FairNMF,0.0075,193,2,3,0.4541789102228663,0.054464314565399574
DrugNet,Ethnicity,FairNMF,0.01,193,2,3,0.4557577139994722,0.04908321771422302
DrugNet,Ethnicity,FairNMF,0.025,193,2,3,0.44669412801280933,0.06225002227842189
DrugNet,Ethnicity,FairNMF,0.05,193,2,3,0.43954031316668685,0.06623465066874386
DrugNet,Ethnicity,FairNMF,0.075,193,2,3,0.45040185699526364,0.05676020333304321
DrugNet,Ethnicity,FairNMF,0.1,193,2,3,0.33581111603089625,0.10455254901342625
DrugNet,Ethnicity,FairNMF,0.2,193,2,3,0.4312460026745741,0.07330645518427786
DrugNet,Ethnicity,FairNMF,0.3,193,2,3,0.4376596134837893,0.0651403926886424
DrugNet,Ethnicity,FairNMF,0.4,193,2,3,0.4366689476579586,0.06525004180915303
DrugNet,Ethnicity,FairNMF,0.5,193,2,3,0.4326973392907459,0.07091018046263557
DrugNet,Ethnicity,FairNMF,0.6,193,2,3,0.4348978250077152,0.07235002887213378
DrugNet,Ethnicity,FairNMF,0.7,193,2,3,0.43281809765326235,0.06910016887118395
DrugNet,Ethnicity,FairNMF,0.8,193,2,3,0.4309306891724473,0.07659910324862634
DrugNet,Ethnicity,FairNMF,0.9,193,2,3,0.4206997723481239,0.07303942766015381
DrugNet,Ethnicity,FairNMF,1,193,2,3,0.43122811254679383,0.06990408103307433
DrugNet,Ethnicity,FairNMF,1.1,193,2,3,0.4303604413494522,0.07318170188478566
DrugNet,Ethnicity,FairNMF,1.2,193,2,3,0.4310849915245519,0.07356386397596795
DrugNet,Ethnicity,FairNMF,1.3,193,2,3,0.43337269161444975,0.07413491667101772
DrugNet,Ethnicity,FairNMF,1.4,193,2,3,0.4242151824569406,0.07831908828492105
DrugNet,Ethnicity,FairNMF,1.5,193,2,3,0.4315590799107282,0.07369450973654741
DrugNet,Ethnicity,FairNMF,1.6,193,2,3,0.43122811254679383,0.06990408103307433
DrugNet,Ethnicity,FairNMF,1.7,193,2,3,0.3839087245680652,0.08634159497004956
DrugNet,Ethnicity,FairNMF,1.8,193,2,3,0.43281809765326235,0.06910016887118395
DrugNet,Ethnicity,FairNMF,1.9,193,2,3,0.4248950073125897,0.07599996353420403
DrugNet,Ethnicity,FairNMF,2,193,2,3,0.42813312044081275,0.07073199349288085
DrugNet,Ethnicity,FairNMF,2.2,193,2,3,0.4297231055472814,0.06978243006499857
DrugNet,Ethnicity,FairNMF,2.4,193,2,3,0.43294332854772416,0.0739109312489732
DrugNet,Ethnicity,FairNMF,2.5,193,2,3,0.43017259500775973,0.07323312928032374
DrugNet,Ethnicity,FairNMF,2.6,193,2,3,0.42026370048348066,0.07951229753850585
DrugNet,Ethnicity,FairNMF,2.8,193,2,3,0.4315590799107282,0.07369450973654741
DrugNet,Ethnicity,FairNMF,3,193,2,3,0.4242867429680616,0.07651826064706886
DrugNet,Ethnicity,FairNMF,3.33,193,2,3,0.3794652640806487,0.09128739453100347
DrugNet,Ethnicity,FairNMF,3.66,193,2,3,0.4297231055472814,0.06992808133099046
DrugNet,Ethnicity,FairNMF,4,193,2,3,0.4303246610938918,0.06963127228909916
DrugNet,Ethnicity,FairNMF,4.33,193,2,3,0.4318363768913218,0.06923081463176341
DrugNet,Ethnicity,FairNMF,4.66,193,2,3,0.4311476069717828,0.06992808133099047
DrugNet,Ethnicity,FairNMF,5,193,2,3,0.37827557058326294,0.09144842511973757
DrugNet,Ethnicity,FairNMF,5.33,193,2,3,0.4234637970901707,0.07842438373509748
DrugNet,Ethnicity,FairNMF,5.66,193,2,3,0.4296560175681054,0.07349723038770149
DrugNet,Ethnicity,FairNMF,6,193,2,3,0.42914391266039614,0.07375579175466158
DrugNet,Ethnicity,FairNMF,6.5,193,2,3,0.389573186276483,0.09448988166894719
DrugNet,Ethnicity,FairNMF,7,193,2,3,0.4308501835974363,0.06936426997856168
DrugNet,Ethnicity,FairNMF,7.5,193,2,3,0.4302463917848533,0.0700347267936538
DrugNet,Ethnicity,FairNMF,8,193,2,3,0.4318363768913218,0.06923081463176341
DrugNet,Ethnicity,FairNMF,8.5,193,2,3,0.43281809765326235,0.06910016887118395
DrugNet,Ethnicity,FairNMF,9,193,2,3,0.43281809765326235,0.06910016887118395
DrugNet,Ethnicity,FairNMF,10,193,2,3,0.4083287489880896,0.08782228669189436
DrugNet,Ethnicity,FairNMF,15,193,2,3,0.43122811254679383,0.06990408103307434
DrugNet,Ethnicity,FairNMF,20,193,2,3,0.432301520213608,0.0693642699785617
DrugNet,Ethnicity,FairNMF,30,193,2,3,0.4332921860394387,0.06923081463176341
DrugNet,Ethnicity,FairNMF,40,193,2,3,0.43207118481843754,0.07722784465526816
DrugNet,Ethnicity,FairNMF,50,193,2,3,0.386234441179496,0.09134983237480117
DrugNet,Ethnicity,FairNMF,60,193,2,3,0.432301520213608,0.06936426997856168
DrugNet,Ethnicity,FairNMF,70,193,2,3,0.4096347283160469,0.09321266207523782
DrugNet,Ethnicity,FairNMF,80,193,2,3,0.430671282319634,0.07017979098020924
DrugNet,Ethnicity,FairNMF,90,193,2,3,0.43174468998644816,0.0696399799256966
DrugNet,Ethnicity,FairNMF,100,193,2,3,0.4317849427739537,0.06962837108593943
DrugNet,Ethnicity,FairNMF,0,193,3,3,0.5182367490059797,0.058521554922277626
DrugNet,Ethnicity,FairNMF,0.0001,193,3,3,0.5713301757257802,0.03535353478879707
DrugNet,Ethnicity,FairNMF,0.0005,193,3,3,0.5322849718454113,0.04407879104527302
DrugNet,Ethnicity,FairNMF,0.00075,193,3,3,0.5211908563556914,0.05692488504616644
DrugNet,Ethnicity,FairNMF,0.001,193,3,3,0.5418561902078386,0.044667971689561076
DrugNet,Ethnicity,FairNMF,0.0025,193,3,3,0.524878458944393,0.044093274377389434
DrugNet,Ethnicity,FairNMF,0.005,193,3,3,0.536361684713333,0.04726911052195507
DrugNet,Ethnicity,FairNMF,0.0075,193,3,3,0.513665821358129,0.04755479855492278
DrugNet,Ethnicity,FairNMF,0.01,193,3,3,0.5397786991193585,0.04998294294027122
DrugNet,Ethnicity,FairNMF,0.025,193,3,3,0.5260748612396964,0.05032875461078526
DrugNet,Ethnicity,FairNMF,0.05,193,3,3,0.4992732135589278,0.06534597570398591
DrugNet,Ethnicity,FairNMF,0.075,193,3,3,0.5255627563319871,0.07134663854916289
DrugNet,Ethnicity,FairNMF,0.1,193,3,3,0.5431599332698234,0.061656854980361366
DrugNet,Ethnicity,FairNMF,0.2,193,3,3,0.5136524037622939,0.061803141725721766
DrugNet,Ethnicity,FairNMF,0.3,193,3,3,0.47922956164714403,0.0592673584272782
