network,attr,method,lam,nodes (n),clusters (k),groups (h),Q_FNMTF,B_FNMTF
LastFM,Gender,FairNMF,0,5576,2,6,0.354513855,0.034450132
LastFM,Gender,FairNMF,0.001,5576,2,6,0.357911752,0.030625132
LastFM,Gender,FairNMF,0.005,5576,2,6,0.359123155,0.03232469
LastFM,Gender,FairNMF,0.0075,5576,2,6,0.359463787,0.038252249
LastFM,Gender,FairNMF,0.01,5576,2,6,0.357461736,0.033827112
LastFM,Gender,FairNMF,0.025,5576,2,6,0.354536643,0.03460092
LastFM,Gender,FairNMF,0.05,5576,2,6,0.354500751,0.042327114
LastFM,Gender,FairNMF,0.075,5576,2,6,0.358152538,0.038681065
LastFM,Gender,FairNMF,0.1,5576,2,6,0.357672322,0.037779534
LastFM,Gender,FairNMF,0.2,5576,2,6,0.35771353,0.040685039
LastFM,Gender,FairNMF,0.4,5576,2,6,0.355669393,0.046385586
LastFM,Gender,FairNMF,0.5,5576,2,6,0.355723502,0.046174533
LastFM,Gender,FairNMF,0.6,5576,2,6,0.3543492,0.048204313
LastFM,Gender,FairNMF,0.8,5576,2,6,0.354654873,0.049983956
LastFM,Gender,FairNMF,1,5576,2,6,0.35349645,0.053327462
LastFM,Gender,FairNMF,1.2,5576,2,6,0.35247471,0.055114182
LastFM,Gender,FairNMF,1.4,5576,2,6,0.352452205,0.057192316
LastFM,Gender,FairNMF,1.5,5576,2,6,0.350915515,0.060711546
LastFM,Gender,FairNMF,1.6,5576,2,6,0.350720075,0.059152419
LastFM,Gender,FairNMF,1.8,5576,2,6,0.348424412,0.068645601
LastFM,Gender,FairNMF,2,5576,2,6,0.349289217,0.064642217
LastFM,Gender,FairNMF,2.5,5576,2,6,0.34826028,0.071928065
LastFM,Gender,FairNMF,3,5576,2,6,0.345845066,0.07736676
LastFM,Gender,FairNMF,3.5,5576,2,6,0.345800484,0.075972518
LastFM,Gender,FairNMF,4,5576,2,6,0.345901781,0.07729332
LastFM,Gender,FairNMF,4.5,5576,2,6,0.345874002,0.077047931
LastFM,Gender,FairNMF,5,5576,2,6,0.34094949,0.089503794
LastFM,Gender,FairNMF,6,5576,2,6,0.342418095,0.083282236
LastFM,Gender,FairNMF,7,5576,2,6,0.339050474,0.095909984
LastFM,Gender,FairNMF,8,5576,2,6,0.341111755,0.087142684
LastFM,Gender,FairNMF,9,5576,2,6,0.340703462,0.087799221
LastFM,Gender,FairNMF,10,5576,2,6,0.340190443,0.089507053
LastFM,Gender,FairNMF,15,5576,2,6,0.33301545,0.104874003
LastFM,Gender,FairNMF,20,5576,2,6,0.332337591,0.103254707
LastFM,Gender,FairNMF,25,5576,2,6,0.330998657,0.104505255
LastFM,Gender,FairNMF,30,5576,2,6,0.329635067,0.107020496
LastFM,Gender,FairNMF,35,5576,2,6,0.32869736,0.112048357
LastFM,Gender,FairNMF,40,5576,2,6,0.326900804,0.114256
LastFM,Gender,FairNMF,45,5576,2,6,0.325780721,0.122753674
LastFM,Gender,FairNMF,50,5576,2,6,0.324867167,0.116751211
LastFM,Gender,FairNMF,60,5576,2,6,0.322793722,0.120342131
LastFM,Gender,FairNMF,70,5576,2,6,0.319540852,0.123421585
LastFM,Gender,FairNMF,80,5576,2,6,0.315803356,0.124722196
LastFM,Gender,FairNMF,90,5576,2,6,0.310260135,0.125771584
LastFM,Gender,FairNMF,100,5576,2,6,0.304269386,0.134651047
LastFM,Gender,FairNMF,0,5576,3,6,0.579292239,0.02149513
LastFM,Gender,FairNMF,0.001,5576,3,6,0.566645347,0.024119862
LastFM,Gender,FairNMF,0.005,5576,3,6,0.577800063,0.025708446
LastFM,Gender,FairNMF,0.0075,5576,3,6,0.58492455,0.027389391
LastFM,Gender,FairNMF,0.01,5576,3,6,0.593542408,0.022180382
LastFM,Gender,FairNMF,0.025,5576,3,6,0.608410324,0.027959422
LastFM,Gender,FairNMF,0.05,5576,3,6,0.580018342,0.030579265
LastFM,Gender,FairNMF,0.075,5576,3,6,0.562561483,0.043735713
LastFM,Gender,FairNMF,0.1,5576,3,6,0.592366054,0.028948041
LastFM,Gender,FairNMF,0.2,5576,3,6,0.570534007,0.037167811
LastFM,Gender,FairNMF,0.4,5576,3,6,0.500434359,0.049883783
LastFM,Gender,FairNMF,0.5,5576,3,6,0.556061946,0.051631491
LastFM,Gender,FairNMF,0.6,5576,3,6,0.567238549,0.039870209
LastFM,Gender,FairNMF,0.8,5576,3,6,0.547868864,0.054365665
LastFM,Gender,FairNMF,1,5576,3,6,0.571567528,0.039095723
LastFM,Gender,FairNMF,1.2,5576,3,6,0.540535808,0.049138019
LastFM,Gender,FairNMF,1.4,5576,3,6,0.559041657,0.043042559
LastFM,Gender,FairNMF,1.5,5576,3,6,0.471598091,0.041647482
LastFM,Gender,FairNMF,1.6,5576,3,6,0.47410387,0.047885363
LastFM,Gender,FairNMF,1.8,5576,3,6,0.555849716,0.043573188
LastFM,Gender,FairNMF,2,5576,3,6,0.551054196,0.053152253
LastFM,Gender,FairNMF,2.5,5576,3,6,0.544499538,0.047854635
LastFM,Gender,FairNMF,3,5576,3,6,0.5436247,0.048794762
LastFM,Gender,FairNMF,3.5,5576,3,6,0.552652833,0.054328263
LastFM,Gender,FairNMF,4,5576,3,6,0.537269928,0.048576475
LastFM,Gender,FairNMF,4.5,5576,3,6,0.5420197,0.059922277
LastFM,Gender,FairNMF,5,5576,3,6,0.543661728,0.067660146
LastFM,Gender,FairNMF,6,5576,3,6,0.54072547,0.061457258
LastFM,Gender,FairNMF,7,5576,3,6,0.537105433,0.065337957
LastFM,Gender,FairNMF,8,5576,3,6,0.538826315,0.073759724
LastFM,Gender,FairNMF,9,5576,3,6,0.536626247,0.071917788
LastFM,Gender,FairNMF,10,5576,3,6,0.514297183,0.061387988
LastFM,Gender,FairNMF,15,5576,3,6,0.513557811,0.065200588
LastFM,Gender,FairNMF,20,5576,3,6,0.511320876,0.044479838
LastFM,Gender,FairNMF,25,5576,3,6,0.506812888,0.062900371
LastFM,Gender,FairNMF,30,5576,3,6,0.506459738,0.064147329
LastFM,Gender,FairNMF,35,5576,3,6,0.511309487,0.074486622
LastFM,Gender,FairNMF,40,5576,3,6,0.523196379,0.112117044
LastFM,Gender,FairNMF,45,5576,3,6,0.51361586,0.089523101
LastFM,Gender,FairNMF,50,5576,3,6,0.504187058,0.077367885
LastFM,Gender,FairNMF,60,5576,3,6,0.511332613,0.106672982
LastFM,Gender,FairNMF,70,5576,3,6,0.493066218,0.091917311
LastFM,Gender,FairNMF,80,5576,3,6,0.504381428,0.114151451
LastFM,Gender,FairNMF,90,5576,3,6,0.490214038,0.091357928
LastFM,Gender,FairNMF,100,5576,3,6,0.486694367,0.099452567
LastFM,Gender,FairNMF,0,5576,4,6,0.655970752,0.020603255
LastFM,Gender,FairNMF,0.001,5576,4,6,0.692714251,0.019085272
LastFM,Gender,FairNMF,0.005,5576,4,6,0.650067745,0.020599403
LastFM,Gender,FairNMF,0.0075,5576,4,6,0.682291381,0.022691367
LastFM,Gender,FairNMF,0.01,5576,4,6,0.608931675,0.029278582
LastFM,Gender,FairNMF,0.025,5576,4,6,0.687235628,0.02345614
LastFM,Gender,FairNMF,0.05,5576,4,6,0.689282408,0.027092244
LastFM,Gender,FairNMF,0.075,5576,4,6,0.684001955,0.027448565
LastFM,Gender,FairNMF,0.1,5576,4,6,0.57941937,0.030540866
LastFM,Gender,FairNMF,0.2,5576,4,6,0.660791011,0.037225654
LastFM,Gender,FairNMF,0.4,5576,4,6,0.627287127,0.033255419
LastFM,Gender,FairNMF,0.5,5576,4,6,0.663410505,0.031653268
LastFM,Gender,FairNMF,0.6,5576,4,6,0.635093569,0.02845875
LastFM,Gender,FairNMF,0.8,5576,4,6,0.637608381,0.032316377
LastFM,Gender,FairNMF,1,5576,4,6,0.669196563,0.030644194
LastFM,Gender,FairNMF,1.2,5576,4,6,0.663331125,0.031465913
LastFM,Gender,FairNMF,1.4,5576,4,6,0.657399972,0.030926997
LastFM,Gender,FairNMF,1.5,5576,4,6,0.580782011,0.040327806
LastFM,Gender,FairNMF,1.6,5576,4,6,0.621222457,0.037633791
LastFM,Gender,FairNMF,1.8,5576,4,6,0.622311013,0.033204403
LastFM,Gender,FairNMF,2,5576,4,6,0.659522637,0.030828912
LastFM,Gender,FairNMF,2.5,5576,4,6,0.569870191,0.042045879
LastFM,Gender,FairNMF,3,5576,4,6,0.608348702,0.038965674
LastFM,Gender,FairNMF,3.5,5576,4,6,0.597978355,0.037107627
LastFM,Gender,FairNMF,4,5576,4,6,0.61182271,0.041121212
LastFM,Gender,FairNMF,4.5,5576,4,6,0.568945451,0.045353521
LastFM,Gender,FairNMF,5,5576,4,6,0.644101982,0.037098483
LastFM,Gender,FairNMF,6,5576,4,6,0.598999437,0.03727994
LastFM,Gender,FairNMF,7,5576,4,6,0.559933393,0.044823014
